,Path,File_Name,Title,Year,Rating,Resolution,Aspect_Ratio,Detailed_Aspect_Ratio,File Size,Run_Time(Minutes)
69,//nubian/archives/movies/movies/Action & Adventure/65 (2023) [PG-13].m4v,65 (2023) [PG-13].m4v,65,2023,PG-13,1800x800,2.25,1754.0x804.0,2114,92.70928296296297
70,"//nubian/archives/movies/movies/Action & Adventure/Man with No Name 3 The Good, the Bad, and the Ugly [PG-13].m4v","Man with No Name 3 The Good, the Bad, and the Ugly [PG-13].m4v","Man with No Name 3 The Good, the Bad, and the Ugly",,PG-13,700x300,2.3333333333333335,720.0x310.0,854,162.64692888888888
71,"//nubian/archives/movies/movies/Action & Adventure/Batman, The (2022) [PG-13].m4v","Batman, The (2022) [PG-13].m4v","Batman, The",2022,PG-13,1600x800,2.0,1614.0x804.0,2694,176.19268296296295
72,//nubian/archives/movies/movies/Action & Adventure/Shanghai Noon [PG-13].m4v,Shanghai Noon [PG-13].m4v,Shanghai Noon,,PG-13,500x200,2.5,480.0x208.0,621,109.38167722222222
73,//nubian/archives/movies/movies/Action & Adventure/Tron Legacy [PG].m4v,Tron Legacy [PG].m4v,Tron Legacy,,PG,700x400,1.75,720.0x368.0,639,125.1458538888889
74,"//nubian/archives/movies/movies/Action & Adventure/Karate Kid 3, The [PG].m4v","Karate Kid 3, The [PG].m4v","Karate Kid 3, The",,PG,700x500,1.4,708.0x462.0,690,112.3953387037037
75,//nubian/archives/movies/movies/Action & Adventure/Mad Max Fury Road (2015) [R].m4v,Mad Max Fury Road (2015) [R].m4v,Mad Max Fury Road,2015,R,700x400,1.75,720.0x360.0,1025,120.38623796296297
76,//nubian/archives/movies/movies/Action & Adventure/Magnum Force (1973) [R].m4v,Magnum Force (1973) [R].m4v,Magnum Force,1973,R,1900x800,2.375,1920.0x800.0,5731,122.56202277777778
77,//nubian/archives/movies/movies/Action & Adventure/Apollo 13 (1995) [PG].m4v,Apollo 13 (1995) [PG].m4v,Apollo 13,1995,PG,700x400,1.75,710.0x358.0,1263,139.86375203703705
78,//nubian/archives/movies/movies/Action & Adventure/Terminator 4 Salvation [PG-13].m4v,Terminator 4 Salvation [PG-13].m4v,Terminator 4 Salvation,,PG-13,700x300,2.3333333333333335,720.0x302.0,1125,114.60393388888889
79,//nubian/archives/movies/movies/Action & Adventure/Aliens 3 [CF].m4v,Aliens 3 [CF].m4v,Aliens 3,,CF,700x400,1.75,704.0x364.0,669,128.83036833333333
80,//nubian/archives/movies/movies/Action & Adventure/James Bond 05 You Only Live Twice [PG].mp4,James Bond 05 You Only Live Twice [PG].mp4,James Bond 05 You Only Live Twice,,PG,500x200,2.5,480.0x192.0,543,116.4211329861111
81,//nubian/archives/movies/movies/Action & Adventure/A-X-L (2018) [PG].m4v,A-X-L (2018) [PG].m4v,A-X-L,2018,PG,700x400,1.75,720.0x360.0,672,98.62352462962964
82,//nubian/archives/movies/movies/Action & Adventure/Rocky V (1990) [PG-13].mp4,Rocky V (1990) [PG-13].mp4,Rocky V,1990,PG-13,700x400,1.75,720.0x396.0,1068,104.10121944444444
83,//nubian/archives/movies/movies/Action & Adventure/Alien (1979) [CF].m4v,Alien (1979) [CF].m4v,Alien,1979,CF,700x400,1.75,708.0x368.0,636,111.02369055555556
84,//nubian/archives/movies/movies/Action & Adventure/Enter The Dragon (1973) [R].m4v,Enter The Dragon (1973) [R].m4v,Enter The Dragon,1973,R,700x400,1.75,720.0x366.0,715,102.5284201851852
85,//nubian/archives/movies/movies/Action & Adventure/Buffy The Vampire Slayer (1992) [PG-13].m4v,Buffy The Vampire Slayer (1992) [PG-13].m4v,Buffy The Vampire Slayer,1992,PG-13,700x500,1.4,720.0x462.0,686,85.08598481481481
86,//nubian/archives/movies/movies/Action & Adventure/Rambo (2008) [CF].m4v,Rambo (2008) [CF].m4v,Rambo,2008,CF,700x400,1.75,720.0x360.0,706,82.5218838888889
87,//nubian/archives/movies/movies/Action & Adventure/Mission Impossible [PG-13].m4v,Mission Impossible [PG-13].m4v,Mission Impossible,,PG-13,600x300,2.0,638.0x274.0,725,110.21732944444445
88,//nubian/archives/movies/movies/Action & Adventure/Ant-Man and the Wasp - Quantumania (2023) [PG-13].m4v,Ant-Man and the Wasp - Quantumania (2023) [PG-13].m4v,Ant-Man and the Wasp - Quantumania,2023,PG-13,1900x800,2.375,1920.0x804.0,2939,124.4882524074074
89,"//nubian/archives/movies/movies/Action & Adventure/Bourne Supremacy, The (2004) [PG-13].mp4","Bourne Supremacy, The (2004) [PG-13].mp4","Bourne Supremacy, The",2004,PG-13,500x400,1.25,512.0x384.0,1206,104.27361388888889
90,//nubian/archives/movies/movies/Action & Adventure/Red Dawn [PG-13].m4v,Red Dawn [PG-13].m4v,Red Dawn,,PG-13,700x400,1.75,718.0x350.0,910,113.93729722222221
91,//nubian/archives/movies/movies/Action & Adventure/Spiderman2 [PG-13].m4v,Spiderman2 [PG-13].m4v,Spiderman2,,PG-13,700x400,1.75,718.0x360.0,883,127.4325887037037
92,//nubian/archives/movies/movies/Action & Adventure/Men in Black 3 (2012) [PG-13].mp4,Men in Black 3 (2012) [PG-13].mp4,Men in Black 3,2012,PG-13,700x400,1.75,720.0x398.0,1116,105.83420055555555
93,//nubian/archives/movies/movies/Action & Adventure/James Bond 21 Casino Royale [PG-13].mp4,James Bond 21 Casino Royale [PG-13].mp4,James Bond 21 Casino Royale,,PG-13,500x300,1.6666666666666667,512.0x288.0,1595,144.21629444444446
94,"//nubian/archives/movies/movies/Action & Adventure/10,000 BC (2008) [PG-13].mp4","10,000 BC (2008) [PG-13].mp4","10,000 BC",2008,PG-13,600x300,2.0,640.0x272.0,1295,108.85388368055555
95,"//nubian/archives/movies/movies/Action & Adventure/Hurt Locker, The [R].m4v","Hurt Locker, The [R].m4v","Hurt Locker, The",,R,700x500,1.4,720.0x480.0,1651,130.6759701851852
96,//nubian/archives/movies/movies/Action & Adventure/King Arthur Legend Of Sword [PG-13].m4v,King Arthur Legend Of Sword [PG-13].m4v,King Arthur Legend Of Sword,,PG-13,700x400,1.75,720.0x360.0,698,126.22818537037041
97,//nubian/archives/movies/movies/Action & Adventure/Cry Macho (2021) [PG-13].m4v,Cry Macho (2021) [PG-13].m4v,Cry Macho,2021,PG-13,700x400,1.75,720.0x360.0,699,103.90101907407407
98,//nubian/archives/movies/movies/Action & Adventure/James Bond 03 Goldfinger [PG].mp4,James Bond 03 Goldfinger [PG].mp4,James Bond 03 Goldfinger,,PG,500x300,1.6666666666666667,480.0x272.0,638,109.74238124999998
99,//nubian/archives/movies/movies/Action & Adventure/Memphis Belle (1990) [PG-13].m4v,Memphis Belle (1990) [PG-13].m4v,Memphis Belle,1990,PG-13,1900x1100,1.7272727272727273,1920.0x1080.0,7510,107.19180666666666
100,//nubian/archives/movies/movies/Action & Adventure/Alien Resurrection (1997) [R].m4v,Alien Resurrection (1997) [R].m4v,Alien Resurrection,1997,R,700x400,1.75,720.0x368.0,678,116.14742
101,//nubian/archives/movies/movies/Action & Adventure/Underworld [CF].m4v,Underworld [CF].m4v,Underworld,,CF,700x400,1.75,720.0x368.0,655,117.57634777777778
102,//nubian/archives/movies/movies/Action & Adventure/Taken [PG-13].avi,Taken [PG-13].avi,Taken,,PG-13,700x300,2.3333333333333335,696.0x284.0,702,93.40103992881771
103,//nubian/archives/movies/movies/Action & Adventure/Inception (2010) [PG-13].m4v,Inception (2010) [PG-13].m4v,Inception,2010,PG-13,1900x800,2.375,1920.0x800.0,3611,148.1320114814815
