,Path,File_Name,Title,Year,Rating,Resolution,Aspect_Ratio,Detailed_Aspect_Ratio,File Size,Run_Time(Minutes)
1094,//nubian/archives/movies/movies/Drama/Christmas Dress (2016) [G].m4v,Christmas Dress (2016) [G].m4v,Christmas Dress,2016,G,700x500,1.4,704.0x480.0,261,26.389140555555556
1095,//nubian/archives/movies/movies/Drama/Cinema Paradiso (1988) [PG].m4v,Cinema Paradiso (1988) [PG].m4v,Cinema Paradiso,1988,PG,700x500,1.4,674.0x480.0,1571,173.66779962962966
1096,//nubian/archives/movies/movies/Drama/City Of Ember (2008) [PG].m4v,City Of Ember (2008) [PG].m4v,City Of Ember,2008,PG,700x400,1.75,718.0x360.0,830,95.19857537037038
1097,//nubian/archives/movies/movies/Drama/Cocoon (1985) [PG-13].m4v,Cocoon (1985) [PG-13].m4v,Cocoon,1985,PG-13,700x500,1.4,720.0x464.0,783,117.18303796296297
1098,//nubian/archives/movies/movies/Drama/Cocoon the Return (1988) [PG].m4v,Cocoon the Return (1988) [PG].m4v,Cocoon the Return,1988,PG,700x500,1.4,720.0x460.0,849,116.37709407407407
1099,//nubian/archives/movies/movies/Drama/Coda (2021) [PG-13].m4v,Coda (2021) [PG-13].m4v,Coda,2021,PG-13,1900x1000,1.9,1920.0x1036.0,2664,97.09421907407408
1100,"//nubian/archives/movies/movies/Drama/Cokeville Miracle, The [PG-13].m4v","Cokeville Miracle, The [PG-13].m4v","Cokeville Miracle, The",,PG-13,700x500,1.4,720.0x480.0,491,93.64076907407407
1101,//nubian/archives/movies/movies/Drama/Collateral Beauty [PG-13].m4v,Collateral Beauty [PG-13].m4v,Collateral Beauty,,PG-13,700x400,1.75,720.0x360.0,450,96.64933037037036
1102,"//nubian/archives/movies/movies/Drama/Color Purple, The [PG-13].m4v","Color Purple, The [PG-13].m4v","Color Purple, The",,PG-13,700x400,1.75,720.0x404.0,1997,153.79033065296454
1103,//nubian/archives/movies/movies/Drama/Come And See (1985) [R].m4v,Come And See (1985) [R].m4v,Come And See,1985,R,700x500,1.4,720.0x466.0,1546,143.31191851851852
1104,//nubian/archives/movies/movies/Drama/Concussion (2015) [PG-13].m4v,Concussion (2015) [PG-13].m4v,Concussion,2015,PG-13,700x400,1.75,720.0x362.0,519,122.83382203703702
1105,//nubian/archives/movies/movies/Drama/Contagion (2001) [PG-13].mp4,Contagion (2001) [PG-13].mp4,Contagion,2001,PG-13,700x400,1.75,720.0x404.0,1379,106.42298333333333
1106,//nubian/archives/movies/movies/Drama/Copying Beethoven [CF].m4v,Copying Beethoven [CF].m4v,Copying Beethoven,,CF,700x400,1.75,710.0x364.0,574,104.39262148148148
1107,//nubian/archives/movies/movies/Drama/Coraline [PG].m4v,Coraline [PG].m4v,Coraline,,PG,700x500,1.4,720.0x460.0,652,100.62121499999999
1108,"//nubian/archives/movies/movies/Drama/Count Of Monte Cristo, The (2002) [PG-13].m4v","Count Of Monte Cristo, The (2002) [PG-13].m4v","Count Of Monte Cristo, The",2002,PG-13,1900x1000,1.9,1920.0x1040.0,3453,131.23109962962963
1109,//nubian/archives/movies/movies/Drama/Courageous (2011) [PG-13].m4v,Courageous (2011) [PG-13].m4v,Courageous,2011,PG-13,700x400,1.75,720.0x368.0,721,129.34949796296297
1110,//nubian/archives/movies/movies/Drama/Crisis (2021) [R].m4v,Crisis (2021) [R].m4v,Crisis,2021,R,700x400,1.75,720.0x358.0,573,118.64143925925924
1111,//nubian/archives/movies/movies/Drama/Crucible [PG-13].m4v,Crucible [PG-13].m4v,Crucible,,PG-13,700x500,1.4,718.0x464.0,733,123.42608037037037
1112,//nubian/archives/movies/movies/Drama/Curious Case Ben Button [PG-13].m4v,Curious Case Ben Button [PG-13].m4v,Curious Case Ben Button,,PG-13,700x400,1.75,718.0x356.0,666,166.0408748148148
1113,"//nubian/archives/movies/movies/Drama/Cutting Edge 2, The [PG-13].m4v","Cutting Edge 2, The [PG-13].m4v","Cutting Edge 2, The",,PG-13,700x500,1.4,720.0x480.0,881,98.54692074074075
1114,//nubian/archives/movies/movies/Drama/Da Vinci Code 1 [PG-13].m4v,Da Vinci Code 1 [PG-13].m4v,Da Vinci Code 1,,PG-13,600x400,1.5,640.0x368.0,1467,148.82923611111113
1115,//nubian/archives/movies/movies/Drama/Da Vinci Code 3 Inferno [PG-13].m4v,Da Vinci Code 3 Inferno [PG-13].m4v,Da Vinci Code 3 Inferno,,PG-13,700x500,1.4,720.0x472.0,1288,121.5853525925926
1116,//nubian/archives/movies/movies/Drama/Dances With Wolves Extended Edition (1990) [PG-13].m4v,Dances With Wolves Extended Edition (1990) [PG-13].m4v,Dances With Wolves Extended Edition,1990,PG-13,1900x800,2.375,1920.0x812.0,9285,233.82108722222222
1117,//nubian/archives/movies/movies/Drama/Darkest Hour [PG-13].m4v,Darkest Hour [PG-13].m4v,Darkest Hour,,PG-13,700x500,1.4,720.0x460.0,520,124.90950666666667
1118,//nubian/archives/movies/movies/Drama/Dave (1993) [PG-13].m4v,Dave (1993) [PG-13].m4v,Dave,1993,PG-13,700x400,1.75,718.0x448.0,1187,109.91689018518518
1119,//nubian/archives/movies/movies/Drama/Death On The Nile (2022) [PG-13].m4v,Death On The Nile (2022) [PG-13].m4v,Death On The Nile,2022,PG-13,1900x800,2.375,1920.0x804.0,3157,126.9587761111111
1120,//nubian/archives/movies/movies/Drama/Deathtrap [PG].m4v,Deathtrap [PG].m4v,Deathtrap,,PG,700x500,1.4,712.0x480.0,735,116.10723944444446
1121,"//nubian/archives/movies/movies/Drama/Deep, The (1977) [PG].m4v","Deep, The (1977) [PG].m4v","Deep, The",1977,PG,700x500,1.4,714.0x480.0,1276,124.50827259259259
1122,"//nubian/archives/movies/movies/Drama/Departed, The [CF].m4v","Departed, The [CF].m4v","Departed, The",,CF,700x400,1.75,720.0x360.0,700,128.4522127777778
1123,"//nubian/archives/movies/movies/Drama/Departed, The [R].m4v","Departed, The [R].m4v","Departed, The",,R,500x400,1.25,512.0x384.0,1695,151.3656588888889
1124,"//nubian/archives/movies/movies/Drama/Devil's Arithmetic, The [PG].m4v","Devil's Arithmetic, The [PG].m4v","Devil's Arithmetic, The",,PG,700x500,1.4,720.0x544.0,561,97.57414333333332
1125,//nubian/archives/movies/movies/Drama/Diana [PG-13].m4v,Diana [PG-13].m4v,Diana,,PG-13,700x500,1.4,720.0x472.0,738,112.66310592592593
1126,//nubian/archives/movies/movies/Drama/Difret (2014) [NR].m4v,Difret (2014) [NR].m4v,Difret,2014,NR,700x300,2.3333333333333335,720.0x274.0,478,113.20475833333333
1127,//nubian/archives/movies/movies/Drama/Doctor Thorne [G].m4v,Doctor Thorne [G].m4v,Doctor Thorne,,G,700x500,1.4,720.0x480.0,805,179.6883825925926
1128,//nubian/archives/movies/movies/Drama/Donnie Brasco [CF].m4v,Donnie Brasco [CF].m4v,Donnie Brasco,,CF,700x400,1.75,710.0x360.0,669,115.33855666666666
1129,//nubian/archives/movies/movies/Drama/Downton Abbey (2019) [PG].m4v,Downton Abbey (2019) [PG].m4v,Downton Abbey,2019,PG,700x400,1.75,720.0x356.0,876,121.72771685185185
1130,//nubian/archives/movies/movies/Drama/Downton Abbey A New Era (2022) [PG].m4v,Downton Abbey A New Era (2022) [PG].m4v,Downton Abbey A New Era,2022,PG,700x400,1.75,720.0x356.0,972,124.54998074074074
1131,//nubian/archives/movies/movies/Drama/Dr. Strangelove or - How I Learned to Stop Worrying and Love the Bomb (1964) [PG].m4v,Dr. Strangelove or - How I Learned to Stop Worrying and Love the Bomb (1964) [PG].m4v,Dr. Strangelove or - How I Learned to Stop Worrying and Love the Bomb,1964,PG,1800x1100,1.6363636363636365,1792.0x1080.0,5150,94.76133296296297
1132,//nubian/archives/movies/movies/Drama/Dragonfly [PG-13].m4v,Dragonfly [PG-13].m4v,Dragonfly,,PG-13,700x500,1.4,720.0x480.0,695,104.28001055555555
1133,//nubian/archives/movies/movies/Drama/Dream Horse (2020) [PG].m4v,Dream Horse (2020) [PG].m4v,Dream Horse,2020,PG,700x400,1.75,720.0x356.0,1041,113.64964685185186
1134,//nubian/archives/movies/movies/Drama/Dunkirk (2017) [PG-13].m4v,Dunkirk (2017) [PG-13].m4v,Dunkirk,2017,PG-13,1900x1100,1.7272727272727273,1920.0x1080.0,4008,106.63778092592592
1135,//nubian/archives/movies/movies/Drama/Eat Pray Love (2010) [PG-13].m4v,Eat Pray Love (2010) [PG-13].m4v,Eat Pray Love,2010,PG-13,700x500,1.4,720.0x462.0,828,145.66774555555557
1136,"//nubian/archives/movies/movies/Drama/Education, An (2009) [PG-13].m4v","Education, An (2009) [PG-13].m4v","Education, An",2009,PG-13,700x400,1.75,720.0x368.0,474,100.366935
1137,//nubian/archives/movies/movies/Drama/Edward Scissorhands [PG-13].m4v,Edward Scissorhands [PG-13].m4v,Edward Scissorhands,,PG-13,700x500,1.4,714.0x472.0,676,104.97973574074075
1138,//nubian/archives/movies/movies/Drama/Eight And One Half (1963) [NR].m4v,Eight And One Half (1963) [NR].m4v,Eight And One Half,1963,NR,700x500,1.4,710.0x470.0,1135,138.85825962962963
1139,"//nubian/archives/movies/movies/Drama/Elephants Journey, An [PG].m4v","Elephants Journey, An [PG].m4v","Elephants Journey, An",,PG,700x500,1.4,720.0x480.0,789,90.13212518518519
1140,//nubian/archives/movies/movies/Drama/Elvis (2022) [PG-13].m4v,Elvis (2022) [PG-13].m4v,Elvis,2022,PG-13,1900x800,2.375,1920.0x804.0,5020,159.26118518518518
1141,//nubian/archives/movies/movies/Drama/Emma (2020) [PG].m4v,Emma (2020) [PG].m4v,Emma,2020,PG,700x500,1.4,720.0x480.0,1200,124.36702018518517
1142,//nubian/archives/movies/movies/Drama/Emma Smith My Story [PG].m4v,Emma Smith My Story [PG].m4v,Emma Smith My Story,,PG,700x500,1.4,720.0x480.0,598,97.30707074074074
1143,//nubian/archives/movies/movies/Drama/Empire Of The Sun (1987) [PG].m4v,Empire Of The Sun (1987) [PG].m4v,Empire Of The Sun,1987,PG,1900x1100,1.7272727272727273,1920.0x1080.0,10643,152.82002814814814
1144,//nubian/archives/movies/movies/Drama/Enter the Forbidden City (2018).m4v,Enter the Forbidden City (2018).m4v,Enter the Forbidden City,2018,,700x400,1.75,720.0x356.0,833,112.68479425925925
1145,//nubian/archives/movies/movies/Drama/Ephraims Rescue [PG].m4v,Ephraims Rescue [PG].m4v,Ephraims Rescue,,PG,700x500,1.4,720.0x480.0,722,98.25023537037036
1146,//nubian/archives/movies/movies/Drama/Escape From Alcatraz (1979) [PG].m4v,Escape From Alcatraz (1979) [PG].m4v,Escape From Alcatraz,1979,PG,700x300,2.3333333333333335,716.0x348.0,766,111.86425222222222
1147,//nubian/archives/movies/movies/Drama/Ever After (1998) [CF].m4v,Ever After (1998) [CF].m4v,Ever After,1998,CF,700x400,1.75,714.0x364.0,1002,120.68389666666667
1148,//nubian/archives/movies/movies/Drama/Exodus Gods And Kings (2014) [PG-13].m4v,Exodus Gods And Kings (2014) [PG-13].m4v,Exodus Gods And Kings,2014,PG-13,1900x800,2.375,1920.0x800.0,2214,150.3362972222222
1149,//nubian/archives/movies/movies/Drama/Fahrenheit 451 (2018) [PG-13].m4v,Fahrenheit 451 (2018) [PG-13].m4v,Fahrenheit 451,2018,PG-13,700x500,1.4,720.0x480.0,525,100.34260333333333
1150,"//nubian/archives/movies/movies/Drama/Fall, The [CF].m4v","Fall, The [CF].m4v","Fall, The",,CF,700x500,1.4,720.0x462.0,789,116.1054338888889
1151,//nubian/archives/movies/movies/Drama/Fallen (1998) [R].m4v,Fallen (1998) [R].m4v,Fallen,1998,R,500x200,2.5,512.0x208.0,691,127.46173333333333
1152,//nubian/archives/movies/movies/Drama/Fallen (2016) [PG-13].m4v,Fallen (2016) [PG-13].m4v,Fallen,2016,PG-13,700x400,1.75,720.0x360.0,401,91.83396425925926
1153,//nubian/archives/movies/movies/Drama/Fever Pitch [PG-13].m4v,Fever Pitch [PG-13].m4v,Fever Pitch,,PG-13,700x500,1.4,720.0x480.0,836,103.36159148148148
1154,//nubian/archives/movies/movies/Drama/Fiddler on the Roof [PG].m4v,Fiddler on the Roof [PG].m4v,Fiddler on the Roof,,PG,700x400,1.75,720.0x364.0,1028,181.13567666666668
1155,//nubian/archives/movies/movies/Drama/Field of Dreams [PG].m4v,Field of Dreams [PG].m4v,Field of Dreams,,PG,700x400,1.75,720.0x358.0,856,105.2343948148148
1156,//nubian/archives/movies/movies/Drama/Fireproof [PG].m4v,Fireproof [PG].m4v,Fireproof,,PG,700x500,1.4,720.0x464.0,701,117.6365138888889
1157,//nubian/archives/movies/movies/Drama/First Man (2018) [PG-13].m4v,First Man (2018) [PG-13].m4v,First Man,2018,PG-13,700x400,1.75,658.0x356.0,646,140.9997475925926
1158,"//nubian/archives/movies/movies/Drama/Five People you Meet in Heaven, The (2004).m4v","Five People you Meet in Heaven, The (2004).m4v","Five People you Meet in Heaven, The",2004,,700x500,1.4,716.0x480.0,1511,131.74828333333332
1159,//nubian/archives/movies/movies/Drama/Florence Foster Jenkins [PG-13].m4v,Florence Foster Jenkins [PG-13].m4v,Florence Foster Jenkins,,PG-13,700x400,1.75,720.0x360.0,516,110.7518911111111
1160,//nubian/archives/movies/movies/Drama/Flowers In The Attic (2014) [TV-14].m4v,Flowers In The Attic (2014) [TV-14].m4v,Flowers In The Attic,2014,TV-14,700x500,1.4,720.0x480.0,787,90.16980166666667
1161,//nubian/archives/movies/movies/Drama/Forever Young [PG].m4v,Forever Young [PG].m4v,Forever Young,,PG,700x500,1.4,720.0x480.0,840,101.10233351851852
1162,//nubian/archives/movies/movies/Drama/Forrest Gump (1994) [PG-13].m4v,Forrest Gump (1994) [PG-13].m4v,Forrest Gump,1994,PG-13,1900x800,2.375,1920.0x804.0,5537,142.09959629629628
1163,"//nubian/archives/movies/movies/Drama/Fountain, The (2006) [PG-13].m4v","Fountain, The (2006) [PG-13].m4v","Fountain, The",2006,PG-13,1900x1100,1.7272727272727273,1916.0x1080.0,2762,96.5742551851852
1164,"//nubian/archives/movies/movies/Drama/Four Feathers, The [CF].m4v","Four Feathers, The [CF].m4v","Four Feathers, The",,CF,700x500,1.4,720.0x480.0,995,130.44934685185186
1165,//nubian/archives/movies/movies/Drama/Frequency [PG-13].m4v,Frequency [PG-13].m4v,Frequency,,PG-13,700x400,1.75,716.0x366.0,1276,118.70803388888888
1166,//nubian/archives/movies/movies/Drama/Fried Green Tomatos [PG-13].m4v,Fried Green Tomatos [PG-13].m4v,Fried Green Tomatos,,PG-13,700x500,1.4,718.0x462.0,1133,136.48384777777778
1167,//nubian/archives/movies/movies/Drama/Friendly Persuasion [PG].m4v,Friendly Persuasion [PG].m4v,Friendly Persuasion,,PG,700x500,1.4,720.0x480.0,2056,137.7307164814815
1168,"//nubian/archives/movies/movies/Drama/Fugitive, The (1993) [PG-13].m4v","Fugitive, The (1993) [PG-13].m4v","Fugitive, The",1993,PG-13,1900x1100,1.7272727272727273,1906.0x1080.0,6743,130.2377462962963
1169,//nubian/archives/movies/movies/Drama/Gangs of NewYork [CF].m4v,Gangs of NewYork [CF].m4v,Gangs of NewYork,,CF,700x300,2.3333333333333335,708.0x272.0,1137,158.90040833333336
1170,//nubian/archives/movies/movies/Drama/Gifted [PG-13].m4v,Gifted [PG-13].m4v,Gifted,,PG-13,700x400,1.75,720.0x360.0,472,101.16592574074073
1171,"//nubian/archives/movies/movies/Drama/Girl King, The.m4v","Girl King, The.m4v","Girl King, The",,,700x400,1.75,720.0x356.0,458,106.25601074074073
1172,"//nubian/archives/movies/movies/Drama/Girl, The (2012) [PG-13].m4v","Girl, The (2012) [PG-13].m4v","Girl, The",2012,PG-13,700x500,1.4,720.0x460.0,509,93.99598518518519
1173,"//nubian/archives/movies/movies/Drama/Giver, The [PG].m4v","Giver, The [PG].m4v","Giver, The",,PG,700x400,1.75,720.0x354.0,515,97.34210574074073
1174,//nubian/archives/movies/movies/Drama/God's Not Dead 2 [PG].m4v,God's Not Dead 2 [PG].m4v,God's Not Dead 2,,PG,700x400,1.75,720.0x360.0,953,120.8644937037037
1175,"//nubian/archives/movies/movies/Drama/Godfather Part 2, The (1974) [Edit].m4v","Godfather Part 2, The (1974) [Edit].m4v","Godfather Part 2, The",1974,Edit,1900x1100,1.7272727272727273,1916.0x1080.0,7069,201.98055555555555
1176,"//nubian/archives/movies/movies/Drama/Godfather, The (1972) [Edited].m4v","Godfather, The (1972) [Edited].m4v","Godfather, The",1972,Edited,1900x1100,1.7272727272727273,1920.0x1080.0,6541,176.14305555555558
1177,//nubian/archives/movies/movies/Drama/Gods Not Dead (2014) [PG].m4v,Gods Not Dead (2014) [PG].m4v,Gods Not Dead,2014,PG,700x500,1.4,720.0x480.0,712,112.73484407407408
1178,//nubian/archives/movies/movies/Drama/Golda (2023) [PG-13].m4v,Golda (2023) [PG-13].m4v,Golda,2023,PG-13,700x500,1.4,720.0x468.0,809,100.39473851851852
1179,"//nubian/archives/movies/movies/Drama/Golden Child, The [PG-13].m4v","Golden Child, The [PG-13].m4v","Golden Child, The",,PG-13,700x400,1.75,720.0x388.0,942,93.46072847222221
1180,//nubian/archives/movies/movies/Drama/Gone With The Wind (1939).m4v,Gone With The Wind (1939).m4v,Gone With The Wind,1939,,1500x1100,1.3636363636363635,1480.0x1080.0,7006,233.23786574074074
1181,//nubian/archives/movies/movies/Drama/Good Will Hunting [CF].m4v,Good Will Hunting [CF].m4v,Good Will Hunting,,CF,700x400,1.75,710.0x352.0,921,113.87598444444444
1182,"//nubian/archives/movies/movies/Drama/Graduate, The (1967) [PG].m4v","Graduate, The (1967) [PG].m4v","Graduate, The",1967,PG,700x300,2.3333333333333335,720.0x274.0,700,105.6142587037037
1183,"//nubian/archives/movies/movies/Drama/Great Gatsby, The [PG-13].mp4","Great Gatsby, The [PG-13].mp4","Great Gatsby, The",,PG-13,700x400,1.75,720.0x360.0,1101,142.1030724074074
1184,"//nubian/archives/movies/movies/Drama/Greatest Showman, The [PG].mp4","Greatest Showman, The [PG].mp4","Greatest Showman, The",,PG,700x400,1.75,720.0x360.0,549,104.83903962962962
1185,//nubian/archives/movies/movies/Drama/Green Book (2018) [PG-13].m4v,Green Book (2018) [PG-13].m4v,Green Book,2018,PG-13,700x400,1.75,720.0x432.0,626,130.0881524074074
1186,"//nubian/archives/movies/movies/Drama/Green Mile, The [R].m4v","Green Mile, The [R].m4v","Green Mile, The",,R,700x500,1.4,720.0x480.0,1112,188.6613888888889
1187,//nubian/archives/movies/movies/Drama/Hackers [PG-13].avi,Hackers [PG-13].avi,Hackers,,PG-13,700x600,1.1666666666666667,720.0x576.0,625,100.92800000000001
1188,//nubian/archives/movies/movies/Drama/Hamlet Part1 (1996) [PG-13].m4v,Hamlet Part1 (1996) [PG-13].m4v,Hamlet Part1,1996,PG-13,700x400,1.75,720.0x392.0,840,157.9604574074074
1189,//nubian/archives/movies/movies/Drama/Hamlet Part2 (1996) [PG-13].m4v,Hamlet Part2 (1996) [PG-13].m4v,Hamlet Part2,1996,PG-13,700x400,1.75,720.0x392.0,395,84.60603259259258
1190,"//nubian/archives/movies/movies/Drama/Haunting In Venice, A (2023) [PG-13].m4v","Haunting In Venice, A (2023) [PG-13].m4v","Haunting In Venice, A",2023,PG-13,1900x1000,1.9,1916.0x1036.0,2157,103.38105518518519
1191,//nubian/archives/movies/movies/Drama/Heaven (2020) [PG-13].m4v,Heaven (2020) [PG-13].m4v,Heaven,2020,PG-13,700x500,1.4,720.0x480.0,931,106.36945740740742
1192,//nubian/archives/movies/movies/Drama/Heaven Is For Real [PG].m4v,Heaven Is For Real [PG].m4v,Heaven Is For Real,,PG,700x400,1.75,720.0x362.0,534,99.49967796296296
1193,"//nubian/archives/movies/movies/Drama/Help, The [PG-13].m4v","Help, The [PG-13].m4v","Help, The",,PG-13,700x500,1.4,720.0x480.0,984,146.2573611111111
1194,//nubian/archives/movies/movies/Drama/Hidden Figures [PG].m4v,Hidden Figures [PG].m4v,Hidden Figures,,PG,700x400,1.75,720.0x360.0,491,126.72910222222224
1195,"//nubian/archives/movies/movies/Drama/Hiding Place, The [PG].m4v","Hiding Place, The [PG].m4v","Hiding Place, The",,PG,700x500,1.4,720.0x480.0,1259,146.28210796296295
1196,//nubian/archives/movies/movies/Drama/Home Of The Brave [CF].m4v,Home Of The Brave [CF].m4v,Home Of The Brave,,CF,700x400,1.75,720.0x362.0,1328,98.71250277777777
1197,//nubian/archives/movies/movies/Drama/Hoosiers [PG].mp4,Hoosiers [PG].mp4,Hoosiers,,PG,500x300,1.6666666666666667,480.0x272.0,654,114.45934409722223
1198,//nubian/archives/movies/movies/Drama/Hotel Rwanda (2004) [CF].m4v,Hotel Rwanda (2004) [CF].m4v,Hotel Rwanda,2004,CF,700x400,1.75,720.0x368.0,764,121.84130314814814
1199,//nubian/archives/movies/movies/Drama/House of Gucci (2021) [Edited].m4v,House of Gucci (2021) [Edited].m4v,House of Gucci,2021,Edited,1900x800,2.375,1920.0x804.0,3577,155.87152777777777
1200,"//nubian/archives/movies/movies/Drama/Huntsman- Winters War, The [PG-13].m4v","Huntsman- Winters War, The [PG-13].m4v","Huntsman- Winters War, The",,PG-13,700x400,1.75,720.0x356.0,662,120.19406222222223
1201,//nubian/archives/movies/movies/Drama/I Still Believe (2020) [PG].m4v,I Still Believe (2020) [PG].m4v,I Still Believe,2020,PG,700x400,1.75,720.0x356.0,907,116.49248685185187
1202,//nubian/archives/movies/movies/Drama/I'll Find You (2019) [UR].m4v,I'll Find You (2019) [UR].m4v,I'll Find You,2019,UR,700x500,1.4,720.0x460.0,1012,116.04481740740742
1203,//nubian/archives/movies/movies/Drama/If I Stay (2014) [PG-13].m4v,If I Stay (2014) [PG-13].m4v,If I Stay,2014,PG-13,700x400,1.75,720.0x360.0,847,106.67114759259259
1204,//nubian/archives/movies/movies/Drama/If There Be Thorns (2015) [TV-14].m4v,If There Be Thorns (2015) [TV-14].m4v,If There Be Thorns,2015,TV-14,700x500,1.4,720.0x480.0,646,100.04369351851851
1205,"//nubian/archives/movies/movies/Drama/Illusionist, The [PG-13].m4v","Illusionist, The [PG-13].m4v","Illusionist, The",,PG-13,700x500,1.4,720.0x480.0,522,108.96232555555555
1206,//nubian/archives/movies/movies/Drama/In Search of the Castaways (1962) [G].m4v,In Search of the Castaways (1962) [G].m4v,In Search of the Castaways,1962,G,700x500,1.4,720.0x480.0,1102,98.50980018518518
1207,//nubian/archives/movies/movies/Drama/In The Heights (2021) [PG-13].m4v,In The Heights (2021) [PG-13].m4v,In The Heights,2021,PG-13,700x400,1.75,720.0x360.0,1298,142.97338574074075
1208,//nubian/archives/movies/movies/Drama/In The Time Of The Butterflies [PG-13].m4v,In The Time Of The Butterflies [PG-13].m4v,In The Time Of The Butterflies,,PG-13,700x500,1.4,706.0x480.0,652,91.87929222222222
1209,//nubian/archives/movies/movies/Drama/Indivisible (2018) [PG-13].m4v,Indivisible (2018) [PG-13].m4v,Indivisible,2018,PG-13,700x400,1.75,720.0x362.0,586,120.82626074074074
1210,//nubian/archives/movies/movies/Drama/Infinitely Polar Bear (2014) [R].m4v,Infinitely Polar Bear (2014) [R].m4v,Infinitely Polar Bear,2014,R,700x500,1.4,720.0x480.0,885,87.99346074074074
1211,"//nubian/archives/movies/movies/Drama/Inheritance, The (1997) [TV-PG].m4v","Inheritance, The (1997) [TV-PG].m4v","Inheritance, The",1997,TV-PG,700x500,1.4,710.0x480.0,560,94.12069333333334
1212,//nubian/archives/movies/movies/Drama/Interview With The Vampire (1994) [CF].m4v,Interview With The Vampire (1994) [CF].m4v,Interview With The Vampire,1994,CF,700x500,1.4,698.0x472.0,622,111.38127
1213,"//nubian/archives/movies/movies/Drama/Invisible, The (2007) [CF].m4v","Invisible, The (2007) [CF].m4v","Invisible, The",2007,CF,700x400,1.75,720.0x354.0,639,99.88812166666666
1214,//nubian/archives/movies/movies/Drama/Invitation To A Murder (2023) [PG-13].m4v,Invitation To A Murder (2023) [PG-13].m4v,Invitation To A Murder,2023,PG-13,700x400,1.75,720.0x356.0,654,92.51742462962963
1215,//nubian/archives/movies/movies/Drama/It Happened One Night (1934).avi,It Happened One Night (1934).avi,It Happened One Night,1934,,500x400,1.25,512.0x352.0,700,105.12039817595374
1216,//nubian/archives/movies/movies/Drama/Its A Wonderful Life (1946) [PG].m4v,Its A Wonderful Life (1946) [PG].m4v,Its A Wonderful Life,1946,PG,700x500,1.4,720.0x480.0,999,130.6263288888889
1217,//nubian/archives/movies/movies/Drama/Jackie (2016) [R].m4v,Jackie (2016) [R].m4v,Jackie,2016,R,700x500,1.4,672.0x480.0,831,100.12613685185185
1218,//nubian/archives/movies/movies/Drama/Jackie Brown (1997) [CF].m4v,Jackie Brown (1997) [CF].m4v,Jackie Brown,1997,CF,700x500,1.4,710.0x466.0,869,130.15724944444443
1219,//nubian/archives/movies/movies/Drama/Jerry Maguire (1996) [R].m4v,Jerry Maguire (1996) [R].m4v,Jerry Maguire,1996,R,1900x1000,1.9,1920.0x1040.0,6630,138.55577814814814
1220,//nubian/archives/movies/movies/Drama/Jobs (2013) [PG-13].m4v,Jobs (2013) [PG-13].m4v,Jobs,2013,PG-13,700x400,1.75,720.0x364.0,627,128.2517348148148
1221,//nubian/archives/movies/movies/Drama/Journey To Jamaa (2011).m4v,Journey To Jamaa (2011).m4v,Journey To Jamaa,2011,,700x500,1.4,720.0x480.0,357,41.99890111111111
1222,//nubian/archives/movies/movies/Drama/Julie & Julia (2009) [PG-13].m4v,Julie & Julia (2009) [PG-13].m4v,Julie & Julia,2009,PG-13,700x500,1.4,720.0x462.0,1052,123.20850222222222
1223,//nubian/archives/movies/movies/Drama/Just Getting Started (2017) [PG-13].m4v,Just Getting Started (2017) [PG-13].m4v,Just Getting Started,2017,PG-13,700x400,1.75,720.0x360.0,588,90.90915148148149
1224,//nubian/archives/movies/movies/Drama/Just Let Go (2015) [PG-13].m4v,Just Let Go (2015) [PG-13].m4v,Just Let Go,2015,PG-13,700x500,1.4,720.0x462.0,503,106.85953037037036
1225,//nubian/archives/movies/movies/Drama/K-PAX (2001) [PG-13].mp4,K-PAX (2001) [PG-13].mp4,K-PAX,2001,PG-13,700x400,1.75,720.0x362.0,614,120.32840240740741
1226,"//nubian/archives/movies/movies/Drama/Kid, The (2000) [PG].m4v","Kid, The (2000) [PG].m4v","Kid, The",2000,PG,700x500,1.4,708.0x462.0,600,104.02089
1227,"//nubian/archives/movies/movies/Drama/King And I, The (1956) [G].m4v","King And I, The (1956) [G].m4v","King And I, The",1956,G,1900x800,2.375,1920.0x752.0,3562,133.31165037037036
1228,"//nubian/archives/movies/movies/Drama/King Of Staten Island, The (2020) [R].m4v","King Of Staten Island, The (2020) [R].m4v","King Of Staten Island, The",2020,R,700x400,1.75,720.0x356.0,590,137.26824185185188
1229,//nubian/archives/movies/movies/Drama/King Richard (2021) [PG-13].m4v,King Richard (2021) [PG-13].m4v,King Richard,2021,PG-13,700x400,1.75,720.0x356.0,1216,144.6867640740741
1230,"//nubian/archives/movies/movies/Drama/Kings Speech, The (2010) [R].m4v","Kings Speech, The (2010) [R].m4v","Kings Speech, The",2010,R,700x500,1.4,720.0x478.0,508,118.47488407407405
1231,//nubian/archives/movies/movies/Drama/Knives Out (2019) [PG-13].m4v,Knives Out (2019) [PG-13].m4v,Knives Out,2019,PG-13,700x500,1.4,720.0x468.0,1175,130.2307948148148
1232,//nubian/archives/movies/movies/Drama/Knowing (2009) [PG-13].m4v,Knowing (2009) [PG-13].m4v,Knowing,2009,PG-13,700x400,1.75,720.0x366.0,1016,120.74648722222223
